era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Legally Bronze Bronzer,Face,Bronzer,40,Medium Deep,Medium Deep,Natural,natural,brown,7,medium_deep,golden_warm,low,bronzer,0,40,53,56,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,45,Medium Deep Plus,Medium Deep Plus,Natural,natural,brown,8,medium_deep,golden_warm,low,bronzer,0,39,50,71,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,50,Deep,Deep,Natural,natural,brown,9,deep,golden_warm,low,bronzer,0,28,39,72,converted_from_rgb,false
revival,2026,Money Shot Highlighter,Face,Highlighter,1,one,one,Shimmer,metallic_shimmer,white_silver,,,unknown,low,highlighter,5,7,0,7,converted_from_rgb,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,0,Stand Corrected,Stand Corrected,Dewy,natural,nude,1,corrector,neutral_warm,low,corrector,0,13,16,11,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,0,Bright Idea,Bright Idea,Dewy,natural,nude,2,brightener,neutral_warm,low,brightener,0,6,11,10,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,1,Rendezvous,Rendezvous,Dewy,natural,nude,3,fair,neutral_warm,low,skin_tone,0,10,16,12,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,2,Wake-Up Call,Wake-Up Call,Dewy,natural,nude,4,light,neutral_warm,low,skin_tone,0,11,18,11,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,3,Up All Night,Up All Night,Dewy,natural,nude,5,light_medium,golden_warm,low,skin_tone,0,12,22,15,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,4,Late Show,Late Show,Dewy,natural,nude,6,medium,golden_warm,low,skin_tone,0,14,24,16,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,5,Last Call,Last Call,Dewy,natural,nude,7,medium_deep,golden_warm,low,skin_tone,0,16,26,18,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,6,After Hours,After Hours,Dewy,natural,nude,8,deep,golden_warm,low,skin_tone,0,17,27,19,source_provided,false
original_launch,2013,Remedy Concealer Pen,Face,Concealer,7,Past Curfew,Past Curfew,Dewy,natural,nude,9,very_deep,golden_warm,low,skin_tone,0,17,29,22,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,10,Ivory Light,Ivory Light,Natural to Full Coverage,natural,nude,1,very_fair,neutral_warm,medium,skin_tone,0,8,16,7,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,14,Ivory Medium,Ivory Medium,Natural to Full Coverage,natural,nude,2,fair,neutral_warm,medium,skin_tone,0,9,17,9,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,22,Bisque Light,Bisque Light,Natural to Full Coverage,natural,nude,3,light,neutral_warm,medium,skin_tone,0,10,20,9,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,26,Bisque Medium,Bisque Medium,Natural to Full Coverage,natural,nude,4,light_medium,golden_warm,medium,skin_tone,0,15,25,18,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,32,Beige Light,Beige Light,Natural to Full Coverage,natural,nude,5,light,golden_warm,medium,skin_tone,0,15,25,6,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,34,Beige Medium,Beige Medium,Natural to Full Coverage,natural,nude,6,light_medium,golden_warm,medium,skin_tone,0,16,25,8,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,36,Beige Deep,Beige Deep,Natural to Full Coverage,natural,nude,7,medium,golden_warm,medium,skin_tone,0,16,26,9,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,42,Golden Light,Golden Light,Natural to Full Coverage,natural,nude,8,light,golden_warm,high,skin_tone,0,15,31,8,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,44,Golden Medium,Golden Medium,Natural to Full Coverage,natural,nude,9,medium,golden_warm,high,skin_tone,0,17,33,9,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,46,Golden Deep,Golden Deep,Natural to Full Coverage,natural,nude,10,medium_deep,golden_warm,high,skin_tone,0,17,30,18,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,62,Fawn Light,Fawn Light,Natural to Full Coverage,natural,nude,11,medium,golden_warm,medium,skin_tone,0,18,30,14,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,64,Fawn Medium,Fawn Medium,Natural to Full Coverage,natural,nude,12,medium_deep,golden_warm,medium,skin_tone,0,20,33,16,source_provided,false
